,gname,country_txt,num_attacks,iso_alpha,ctr,country,pdi,idv,mas,uai,ltowvs,ivr
198,Ku Klux Klan,United States,1,USA,USA,U.S.A.,40,91,62,46,26,68
199,White supremacists/nationalists,United States,26,USA,USA,U.S.A.,40,91,62,46,26,68
200,Al-Qaida in the Indian Subcontinent,Bangladesh,1,BGD,BAN,Bangladesh,80,20,55,60,47,20
201,Ansarullah Bangla Team,Bangladesh,1,BGD,BAN,Bangladesh,80,20,55,60,47,20
202,Arakan Rohingya Salvation Army (ARSA),Bangladesh,5,BGD,BAN,Bangladesh,80,20,55,60,47,20
203,Islamic State in Bangladesh,Bangladesh,8,BGD,BAN,Bangladesh,80,20,55,60,47,20
204,Jama'atul Mujahideen Bangladesh (JMB),Bangladesh,5,BGD,BAN,Bangladesh,80,20,55,60,47,20
205,Muslim extremists,Bangladesh,1,BGD,BAN,Bangladesh,80,20,55,60,47,20
206,Al-Qaida in the Islamic Maghreb (AQIM),Algeria,1,DZA,ALG,Algeria,#NULL!,#NULL!,#NULL!,#NULL!,26,32
207,Al-Qaida in the Islamic Maghreb (AQIM),Mali,2,MLI,MLI,Mali,#NULL!,#NULL!,#NULL!,#NULL!,20,43
208,Ansar al-Islam (Burkina Faso),Mali,2,MLI,MLI,Mali,#NULL!,#NULL!,#NULL!,#NULL!,20,43
209,Boko Haram,Mali,1,MLI,MLI,Mali,#NULL!,#NULL!,#NULL!,#NULL!,20,43
210,Islamic State in the Greater Sahara (ISGS),Mali,27,MLI,MLI,Mali,#NULL!,#NULL!,#NULL!,#NULL!,20,43
211,Jamaat Nusrat al-Islam wal Muslimin (JNIM),Mali,58,MLI,MLI,Mali,#NULL!,#NULL!,#NULL!,#NULL!,20,43
212,Muslim extremists,Mali,62,MLI,MLI,Mali,#NULL!,#NULL!,#NULL!,#NULL!,20,43
213,Allied Democratic Forces (ADF),Uganda,2,UGA,UGA,Uganda,#NULL!,#NULL!,#NULL!,#NULL!,24,52
214,Ansar al-Furqan,Iran,1,IRN,IRA,Iran,58,41,43,59,14,40
215,Jaish al-Adl,Iran,4,IRN,IRA,Iran,58,41,43,59,14,40
216,Muslim extremists,Iran,1,IRN,IRA,Iran,58,41,43,59,14,40
217,Ansar al-Islam (Burkina Faso),Burkina Faso,19,BFA,BUF,Burkina Faso,#NULL!,#NULL!,#NULL!,#NULL!,27,18
218,Islamic State in the Greater Sahara (ISGS),Burkina Faso,17,BFA,BUF,Burkina Faso,#NULL!,#NULL!,#NULL!,#NULL!,27,18
219,Jamaat Nusrat al-Islam wal Muslimin (JNIM),Burkina Faso,26,BFA,BUF,Burkina Faso,#NULL!,#NULL!,#NULL!,#NULL!,27,18
220,Mouhadine,Burkina Faso,2,BFA,BUF,Burkina Faso,#NULL!,#NULL!,#NULL!,#NULL!,27,18
221,Muslim extremists,Burkina Faso,56,BFA,BUF,Burkina Faso,#NULL!,#NULL!,#NULL!,#NULL!,27,18
