,gname,country_txt,num_attacks,iso_alpha,ctr,country,pdi,idv,mas,uai,ltowvs,ivr
174,Ansar Ghazwat-ul-Hind,India,3,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
175,Hind Province of the Islamic State,India,7,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
176,Hindu extremists,India,3,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
177,Hizbul Mujahideen (HM),India,74,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
178,Jaish-e-Mohammad (JeM),India,75,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
179,Jama'atul Mujahideen Bangladesh (JMB),India,3,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
180,Khalistan Liberation Force,India,2,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
181,Khorasan Chapter of the Islamic State,India,8,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
182,Lashkar-e-Mustafa (LeM),India,1,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
183,Lashkar-e-Taiba (LeT),India,54,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
184,Popular Front of India (PFI),India,1,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
185,Rashtriya Swayamsevak Sangh,India,4,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
186,Sanatan Sanstha,India,2,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
187,Sarallah India Hezbollah,India,1,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
188,Tehrik al-Mojahedin,India,3,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
189,The Resistance Front (TRF),India,22,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
190,Vishwa Hindu Parishad (VHP),India,1,IND,IND,India,77.0,48.0,56.0,40.0,51.0,26.0
191,Al-Qaida in the Arabian Peninsula (AQAP),Saudi Arabia,1,SAU,SAU,Saudi Arabia,,,,,36.0,52.0
192,Najd Province of the Islamic State,Saudi Arabia,3,SAU,SAU,Saudi Arabia,,,,,36.0,52.0
193,Al-Qaida in the Arabian Peninsula (AQAP),United States,1,USA,USA,U.S.A.,40.0,91.0,62.0,46.0,26.0,68.0
194,Anti-Christian extremists,United States,1,USA,USA,U.S.A.,40.0,91.0,62.0,46.0,26.0,68.0
195,Anti-Muslim extremists,United States,10,USA,USA,U.S.A.,40.0,91.0,62.0,46.0,26.0,68.0
196,Anti-Semitic extremists,United States,15,USA,USA,U.S.A.,40.0,91.0,62.0,46.0,26.0,68.0
197,Jihadi-inspired extremists,United States,10,USA,USA,U.S.A.,40.0,91.0,62.0,46.0,26.0,68.0
198,Ku Klux Klan,United States,1,USA,USA,U.S.A.,40.0,91.0,62.0,46.0,26.0,68.0
199,White supremacists/nationalists,United States,26,USA,USA,U.S.A.,40.0,91.0,62.0,46.0,26.0,68.0
200,Al-Qaida in the Indian Subcontinent,Bangladesh,1,BGD,BAN,Bangladesh,80.0,20.0,55.0,60.0,47.0,20.0
201,Ansarullah Bangla Team,Bangladesh,1,BGD,BAN,Bangladesh,80.0,20.0,55.0,60.0,47.0,20.0
202,Arakan Rohingya Salvation Army (ARSA),Bangladesh,5,BGD,BAN,Bangladesh,80.0,20.0,55.0,60.0,47.0,20.0
203,Islamic State in Bangladesh,Bangladesh,8,BGD,BAN,Bangladesh,80.0,20.0,55.0,60.0,47.0,20.0
