Unnamed: 0,gname,country_txt,num_attacks,iso_alpha
117,Jihadi-inspired extremists,Canada,1,CAN
118,Jihadi-inspired extremists,France,14,FRA
119,Jihadi-inspired extremists,Germany,6,DEU
120,Jihadi-inspired extremists,Indonesia,3,IDN
121,Jihadi-inspired extremists,Jordan,1,JOR
122,Jihadi-inspired extremists,Morocco,1,MAR
123,Jihadi-inspired extremists,Netherlands,1,NLD
124,Jihadi-inspired extremists,Russia,3,RUS
125,Jihadi-inspired extremists,South Africa,4,ZAF
126,Jihadi-inspired extremists,Switzerland,1,CHE
127,Jihadi-inspired extremists,Tunisia,1,TUN
128,Jihadi-inspired extremists,United Kingdom,4,GBR
129,Jihadi-inspired extremists,United States,10,USA
130,Jund al-Khilafah (Tunisia),Tunisia,7,TUN
131,Kata'ib Hezbollah,Iraq,21,IRQ
132,Khalistan Liberation Force,India,2,IND
133,Khorasan Chapter of the Islamic State,Afghanistan,251,AFG
134,Khorasan Chapter of the Islamic State,India,8,IND
135,Khorasan Chapter of the Islamic State,Pakistan,28,PAK
136,Ku Klux Klan,United States,1,USA
137,Lashkar-e-Islam (Pakistan),Afghanistan,1,AFG
138,Lashkar-e-Jhangvi,Pakistan,2,PAK
139,Lashkar-e-Mustafa (LeM),India,1,IND
140,Lashkar-e-Taiba (LeT),India,54,IND
141,Lions of Khilafah in the Maldives,Maldives,3,MDV
142,Lord's Resistance Army (LRA),Central African Republic,4,CAF
144,Maute Group,Philippines,3,PHL
145,Moro Islamic Liberation Front (MILF),Philippines,3,PHL
146,Mouhadine,Burkina Faso,2,BFA
147,Mujahidin Indonesia Timur (MIT),Indonesia,8,IDN
148,Mullah Nazir Group,Pakistan,1,PAK
149,Muslim Brotherhood,Egypt,2,EGY
150,Muslim Brotherhood,Libya,1,LBY
151,Muslim extremists,Austria,2,AUT
152,Muslim extremists,Bangladesh,1,BGD
153,Muslim extremists,Benin,1,BEN
154,Muslim extremists,Burkina Faso,56,BFA
155,Muslim extremists,Central African Republic,1,CAF
156,Muslim extremists,Egypt,2,EGY
157,Muslim extremists,France,1,FRA
158,Muslim extremists,Germany,1,DEU
159,Muslim extremists,Indonesia,1,IDN
160,Muslim extremists,Iran,1,IRN
161,Muslim extremists,Jordan,1,JOR
162,Muslim extremists,Kenya,1,KEN
163,Muslim extremists,Kyrgyzstan,1,KGZ
164,Muslim extremists,Libya,1,LBY
165,Muslim extremists,Maldives,1,MDV
166,Muslim extremists,Mali,62,MLI
167,Muslim extremists,Mozambique,93,MOZ
168,Muslim extremists,Netherlands,1,NLD
169,Muslim extremists,Niger,9,NER
170,Muslim extremists,Nigeria,1,NGA
171,Muslim extremists,Norway,2,NOR
172,Muslim extremists,Pakistan,5,PAK
173,Muslim extremists,Philippines,1,PHL
174,Muslim extremists,Russia,1,RUS
175,Muslim extremists,Sudan,3,SDN
176,Muslim extremists,Sweden,1,SWE
177,Muslim extremists,Syria,9,SYR
178,Muslim extremists,Tunisia,3,TUN
179,Muslim extremists,United Kingdom,1,GBR
180,Muslim extremists,Yemen,5,YEM
181,Najd Province of the Islamic State,Saudi Arabia,3,SAU
182,National Thowheeth Jama'ath,Sri Lanka,1,LKA
183,Negara Islam Indonesia (NII),Indonesia,1,IDN
184,Okba Ibn Nafaa Brigade,Tunisia,3,TUN
185,Omar Abdel Rahman Brigade,Egypt,1,EGY
186,Pakistan Province of the Islamic State,Pakistan,6,PAK
187,Palestinian Islamic Jihad (PIJ),Israel,35,ISR
189,Popular Front of India (PFI),India,1,IND
190,Pro-Palestinian extremists,Brazil,1,BRA
191,Qimant extremists,Ethiopia,1,ETH
192,Rab'Allah,Iraq,2,IRQ
193,Rashtriya Swayamsevak Sangh,India,4,IND
194,Sadrist Movement,Iraq,5,IRQ
195,Sanatan Sanstha,India,2,IND
196,Sarallah India Hezbollah,India,1,IND
197,Saraya al-Salam,Iraq,1,IRQ
198,Shia Muslim extremists,Iraq,2,IRQ
199,Shura Council of Benghazi Revolutionaries,Libya,3,LBY
200,Shura Council of Mujahideen in Derna,Libya,3,LBY
201,Sinai Province of the Islamic State,Egypt,90,EGY
202,Sudanese Islamic Youth Movement,Sudan,1,SDN
203,Sumud Brigade,Libya,2,LBY
204,Taliban,Afghanistan,3814,AFG
205,Taliban,Tajikistan,1,TJK
206,Tehreek-e-Labbaik Pakistan (TLP),Pakistan,2,PAK
207,Tehrik al-Mojahedin,India,3,IND
208,Tehrik-i-Taliban Pakistan (TTP),Afghanistan,2,AFG
209,Tehrik-i-Taliban Pakistan (TTP),Pakistan,106,PAK
210,The Owners of the White Flags,Iraq,1,IRQ
211,The Resistance Front (TRF),India,22,IND
212,Tripoli Province of the Islamic State,Libya,7,LBY
213,Vishwa Hindu Parishad (VHP),India,1,IND
214,Wa'ed al-Tahrir,Israel,1,ISR
215,White supremacists/nationalists,Norway,2,NOR
216,White supremacists/nationalists,United States,26,USA
218,uMkhonto we Sizwe Military Veterans Association (MKMVA),South Africa,1,ZAF
